system:index,avg_temperature,date,humidity,location_id,ndvi,precipitation,.geo
2_0,25.175339974878113,2026-01,20.92315910025826,810,0.7780222222222223,261.24373241267307,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,24.57032661960568,2026-01,18.362296180202577,820,0.6455222222222223,370.54655118785007,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,25.86372177960135,2026-03,22.64519162112714,1034,0.6355000000000001,913.2734106381904,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,25.48686062538468,2026-01,21.61021485350443,1113,0.6914333333333333,745.5360756715309,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,25.567405850484363,2026-02,22.30286020078603,1187,0.5843222222222223,973.2764975627433,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,21.786834204686784,2026-01,15.53228995963326,13241,0.6740222222222223,270.3676836093436,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,23.241264632412253,2026-02,19.44265467674228,13242,0.6740888888888888,767.6887677510749,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,22.078913903780744,2026-02,19.37982692631425,13243,0.8711000000000001,1334.587307413436,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,22.223029334360092,2026-04,17.152940577677043,13257,0.5069333333333333,327.1325991948615,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,25.397198587356684,2026-02,22.850932493166283,13276,0.5484444444444445,1475.6327734788429,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,26.306166463355623,2026-02,23.11800004096898,13277,0.6102444444444445,1868.8428418239127,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,19.80838100833978,2026-02,17.217118347725204,13278,0.7969888888888889,930.8627562125694,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,20.608807195376016,2026-04,17.75182421958624,13288,0.3675,881.5372751554023,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,17.837582568164237,2026-04,5.579722358320282,13289,0.3212777777777778,91.94363816580875,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,19.80838100833978,2026-01,17.217118347725204,13293,0.7969888888888889,930.8627562125694,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,24.095692719063322,2026-01,21.720823934198165,13296,0.7815888888888889,1059.3214498361122,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,19.80838100833978,2026-01,17.217118347725204,13311,0.7969888888888889,930.8627562125694,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,25.786717708361437,2026-04,22.7546574771132,13314,0.5345666666666667,1723.2388274272453,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,20.608807195376016,2026-03,17.75182421958624,13336,0.3675,881.5372751554023,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,14.272035826939941,2026-03,11.722842832243089,13349,0.6257,988.6950121720802,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,23.988006079686727,2026-03,19.54430747532956,13350,0.6970222222222223,34.30140181384189,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,26.376773827261047,2026-03,22.542827581814947,13352,0.5758555555555556,675.7835762103568,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,16.070998842422284,2026-02,14.099876222653961,13354,0.4271666666666667,1048.2819394668113,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,15.380279865003672,2026-05,6.182323292074898,13355,0.3014777777777778,281.949789961196,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,23.028145473950758,2026-04,20.691690934412122,13356,0.8145777777777777,1219.1660271485816,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,15.04470913333978,2026-02,11.310442495128257,13362,0.8566444444444445,276.3158993323813,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,25.56989129123076,2026-03,22.65951342299627,13363,0.5633333333333334,1214.4283221562873,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,25.823145384766576,2026-04,22.54938036078204,13364,0.7957000000000001,512.8855721553336,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,26.27191152703267,2026-03,22.284861239777342,13374,0.49315555555555557,547.4919395049583,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,20.594019965602854,2026-01,17.698913149202326,13375,0.28144444444444444,957.328768213607,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,21.700680433996183,2026-01,19.34762711895098,13379,0.5903555555555556,2149.484278400756,"{""type"":""MultiPoint"",""coordinates"":[]}"
