system:index,avg_temperature,date,location_id,ndvi,nighttime_lights,precipitation,relative_humidity,soil_moisture,surface_pressure_hpa,.geo
0_0,-9999.0,2018-09,3,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,-9999.0,2018-08,4,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,-9999.0,2018-05,9,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,-9999.0,2018-05,3,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,-9999.0,2018-10,15,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,-9999.0,2018-05,4,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,-9999.0,2018-10,3,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,-9999.0,2018-09,14,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,-9999.0,2018-04,4,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,-9999.0,2018-10,14,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,-9999.0,2018-07,9,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,-9999.0,2018-06,13,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,-9999.0,2018-06,14,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,-9999.0,2018-05,7,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,-9999.0,2018-10,13,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,-9999.0,2018-08,14,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,-9999.0,2018-06,9,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,26.13263955660625,2018-09,2,0.6383565217391305,2.5819564,675.0582297715298,74.94373187763811,0.22848506,1010.5048300602894,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,-9999.0,2018-06,4,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,-9999.0,2018-09,19,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,-9999.0,2018-05,8,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,-9999.0,2018-08,3,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,-9999.0,2018-09,4,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,-9999.0,2018-09,9,0.6325347826086958,2.6119368,-9999.0,-9999.0,0.1869326,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,24.615698426825986,2018-07,309,0.6918217391304349,0.23407227,1163.556425777351,72.56226498207589,0.1331668,974.4698711561787,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,25.061578804608246,2018-12,443,0.6635869565217392,0.2113086,3164.7452851208795,86.99779811099812,0.32623044,1003.6134328000153,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,25.243459779922205,2018-06,478,0.5741173913043478,0.21737956,3145.8298405083765,86.92063435803267,0.32812318,1005.1055366812932,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,25.243459779922205,2018-06,510,0.5741173913043478,0.21737956,3145.8298405083765,86.92063435803267,0.32812318,1005.1055366812932,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,25.105179421760113,2018-10,575,0.6434347826086957,0.21752605,2442.20961531726,79.15728303738403,0.32052922,986.4773232109737,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,25.061578804608246,2018-04,467,0.6635869565217392,0.2113086,3164.7452851208795,86.99779811099812,0.32623044,1003.6134328000153,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,26.070525945376005,2018-05,593,0.7085304347826087,2.1810155,1041.1373963030926,78.0396976821903,0.21410145,1011.8909259506993,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,26.070525945376005,2018-08,593,0.7085304347826087,2.1810155,1041.1373963030926,78.0396976821903,0.21410145,1011.8909259506993,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,26.070525945376005,2018-03,593,0.7085304347826087,2.1810155,1041.1373963030926,78.0396976821903,0.21410145,1011.8909259506993,"{""type"":""MultiPoint"",""coordinates"":[]}"
