system:index,avg_temperature,date,location_id,ndvi,nighttime_lights,precipitation,relative_humidity,soil_moisture,surface_pressure_hpa,.geo
0_0,22.35213246454373,2003-07,73,0.48786956521739133,9.5,1374.6934024607817,58.92953391632826,0.2624234534834073,880.8616024231237,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,17.41585941053421,2003-10,98,0.5998173913043479,5.0,2336.785965970723,74.23427999631664,0.37210718442315927,922.1575065327131,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,25.07995869884752,2003-07,104,0.587704347826087,2.5,1107.7928407108466,73.02796330332875,0.24080189047338763,1000.067988267872,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,23.697510960548414,2003-02,113,0.5502956521739131,15.5,976.4106361186186,73.56034098455699,0.16318185013723166,1015.9729574459548,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,20.63369327005188,2003-01,144,0.6827391304347826,4.0,2056.1129016792456,82.45487727347886,0.314025166481053,889.3337040212974,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,22.103214709835072,2003-07,152,0.595904347826087,4.5,1431.9154707705657,51.6059857908716,0.2678985317003783,866.0888741126212,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,20.52180105758015,2003-06,170,0.790995652173913,0.0,2219.1963283335845,84.07117128872002,0.4423787556826796,906.7674654368219,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,25.84051426926692,2003-07,182,0.5069217391304348,0.0,826.4165682708899,58.20340384055034,0.18906277695747278,956.7474414642196,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,-9999.0,2003-07,192,0.13460869565217393,0.0,-9999.0,-9999.0,-9999.0,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,23.25346776883913,2003-04,194,0.7772260869565217,1.5,3833.965444377629,90.20944499685027,0.4233608141337352,988.7291184048586,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,23.883484579983474,2003-04,219,0.7191565217391305,4.0,3998.903506807057,89.53276271761253,0.4168692793475983,997.0755499117082,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,23.968443287888647,2003-07,225,0.6403304347826088,0.0,1269.4056196129004,75.15462783133536,0.25313733070408356,981.4610921491503,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,23.883484579983474,2003-07,219,0.7191565217391305,4.0,3998.903506807057,89.53276271761253,0.4168692793475983,997.0755499117082,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,23.968443287888647,2003-07,256,0.6403304347826088,0.0,1269.4056196129004,75.15462783133536,0.25313733070408356,981.4610921491503,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,25.07995869884752,2003-07,260,0.587704347826087,2.5,1107.7928407108466,73.02796330332875,0.24080189047338763,1000.067988267872,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,23.210665346607357,2003-08,274,0.7808391304347826,0.0,3941.563421300618,90.02436292092261,0.45019168244104935,986.0014117838545,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,23.883484579983474,2003-04,288,0.7191565217391305,4.0,3998.903506807057,89.53276271761253,0.4168692793475983,997.0755499117082,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,18.772552431010865,2003-11,322,0.728008695652174,0.0,4279.186443797318,87.654417186953,0.4775536332500578,863.321440322667,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,18.772552431010865,2003-11,323,0.728008695652174,0.0,4279.186443797318,87.654417186953,0.4775536332500578,863.321440322667,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,22.775820793952846,2003-12,327,0.6572652173913044,0.5,2113.844090512959,87.2883614962628,0.42627126441154334,940.8918821034894,"{""type"":""MultiPoint"",""coordinates"":[]}"
