system:index,biome_id,distance_to_water_m,ecoregion_id,elevation,human_modification,landcover_class,location_id,slope,soil_organic_carbon,soil_ph,worldclim_bio01,worldclim_bio12,.geo
0_0,1.0,593.9696961966999,502,1237,0.16134226,10,190001.0,5.5495176,8,53,213.0,1528.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,3.0,768.9603370785778,553,791,0.67173386,30,190002.0,2.3092673,4,53,233.0,1388.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,2.0,180.0,528,622,0.74592155,30,190003.0,0.28747952,3,61,241.0,906.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,1.0,952.9428104561155,502,1128,0.38252664,10,190004.0,8.505654,10,55,233.0,3496.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,1.0,915.8602513484249,502,1074,0.34092093,10,190005.0,15.27042,11,53,226.0,3408.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,1.0,457.93012567421243,502,2150,0.71994656,10,190006.0,18.280514,12,54,168.0,2144.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,3.0,845.3401682163222,553,2043,0.29161435,10,190007.0,11.021991,12,49,159.0,1542.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,2.0,391.15214431215895,547,1226,0.2016294,10,190008.0,14.817752,9,56,193.0,1384.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,2.0,558.0322571321483,527,94,0.6133474,10,190009.0,0.535562,7,61,271.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,1.0,768.3749084919418,502,791,0.5085211,30,190010.0,6.213159,6,53,236.0,2604.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,1.0,120.0,494,394,0.7217888,10,190011.0,0.51379806,4,59,242.0,1195.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,1.0,484.6648326421053,494,993,0.34561685,10,190012.0,2.4161024,6,59,225.0,970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,2.0,67.0820393249937,528,1258,0.51715165,10,190013.0,1.5070333,7,64,216.0,1294.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,3.0,926.60671268883,553,671,0.6882251,10,190014.0,2.9720924,5,64,240.0,798.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,3.0,615.5485358604958,553,1112,0.18173304,10,190015.0,5.2320147,9,52,217.0,1478.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,2.0,161.55494421403512,528,526,0.9314358,50,190016.0,0.7898803,3,70,239.0,895.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,3.0,752.3961722390673,553,789,0.664567,30,190017.0,3.8428826,3,58,238.0,973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,1.0,436.80659335683106,452,1489,0.6156997,10,190018.0,13.44837,10,58,191.0,2186.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,1.0,768.3749084919418,502,791,0.5085211,30,190019.0,6.213159,6,53,236.0,2604.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,2.0,216.33307652783935,528,687,0.88988596,10,190020.0,7.784527,3,65,235.0,966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,3.0,702.2819946431775,557,1714,0.2606633,10,190021.0,14.098125,4,65,169.0,934.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,1.0,429.5346318982906,502,1822,0.5423577,10,190022.0,7.660046,11,53,189.0,3162.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,1.0,161.55494421403512,477,2456,0.48763877,10,190023.0,16.962416,15,58,162.0,987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,1.0,152.97058540778355,477,2568,0.5105168,10,190024.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,1.0,189.73665961010278,477,2087,0.49891356,10,190025.0,17.611101,11,58,185.0,1176.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,1.0,152.97058540778355,477,2568,0.5105168,10,190026.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
