system:index,biome_id,distance_to_water_m,ecoregion_id,elevation,human_modification,landcover_class,location_id,slope,soil_organic_carbon,soil_ph,worldclim_bio01,worldclim_bio12,.geo
26_0,1.0,152.97058540778355,477,2568,0.5105168,10,190027.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,1.0,189.73665961010278,477,2087,0.49891356,10,190028.0,17.611101,11,58,185.0,1176.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,1.0,189.73665961010278,477,2087,0.49891356,10,190029.0,17.611101,11,58,185.0,1176.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,1.0,152.97058540778355,477,2568,0.5105168,10,190030.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,1.0,152.97058540778355,477,2568,0.5105168,10,190031.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,1.0,152.97058540778355,477,2568,0.5105168,10,190032.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,1.0,189.73665961010278,477,2087,0.49891356,10,190033.0,17.611101,11,58,185.0,1176.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,1.0,189.73665961010278,477,2087,0.49891356,10,190034.0,17.611101,11,58,185.0,1176.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,1.0,180.0,477,2285,0.47515264,10,190035.0,22.467329,13,57,166.0,1043.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,1.0,152.97058540778355,477,2568,0.5105168,10,190036.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,1.0,182.48287590894657,477,2176,0.5008013,10,190037.0,17.297314,16,57,174.0,1106.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,1.0,152.97058540778355,477,2568,0.5105168,10,190038.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,1.0,161.55494421403512,477,2456,0.48763877,10,190039.0,16.962416,15,58,162.0,987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,1.0,189.73665961010278,477,2087,0.49891356,10,190040.0,17.611101,11,58,185.0,1176.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,1.0,152.97058540778355,477,2568,0.5105168,10,190041.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,1.0,161.55494421403512,477,2456,0.48763877,10,190042.0,16.962416,15,58,162.0,987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,1.0,152.97058540778355,477,2568,0.5105168,10,190043.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,1.0,152.97058540778355,477,2568,0.5105168,10,190044.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
44_0,1.0,152.97058540778355,477,2568,0.5105168,10,190045.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
45_0,1.0,161.55494421403512,477,2456,0.48763877,10,190046.0,16.962416,15,58,162.0,987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
46_0,1.0,161.55494421403512,477,2456,0.48763877,10,190047.0,16.962416,15,58,162.0,987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
47_0,1.0,152.97058540778355,477,2568,0.5105168,10,190048.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
48_0,1.0,152.97058540778355,477,2568,0.5105168,10,190049.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
49_0,1.0,152.97058540778355,477,2568,0.5105168,10,190050.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
50_0,1.0,152.97058540778355,477,2568,0.5105168,10,190051.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
51_0,1.0,152.97058540778355,477,2568,0.5105168,10,190052.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
52_0,1.0,152.97058540778355,477,2568,0.5105168,10,190053.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
53_0,1.0,161.55494421403512,477,2456,0.48763877,10,190054.0,16.962416,15,58,162.0,987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
54_0,1.0,152.97058540778355,477,2568,0.5105168,10,190055.0,14.143997,19,59,158.0,943.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
55_0,3.0,1492.1796138535065,558,2168,0.39207646,10,190056.0,6.650252,6,58,164.0,1406.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
56_0,1.0,169.7056274847714,494,1096,0.79436177,10,190057.0,3.906906,5,63,200.0,1975.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
57_0,3.0,247.38633753705963,327,1460,0.26763734,10,190058.0,7.786141,6,65,210.0,679.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
58_0,3.0,416.7733196834941,327,1169,0.31400222,10,190059.0,4.903662,10,56,194.0,962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
59_0,3.0,241.86773244895647,559,2231,0.7112788,10,190060.0,7.5919113,12,59,142.0,1294.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
60_0,2.0,134.1640786499874,522,1015,0.51692605,20,190061.0,1.8261871,3,71,243.0,851.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
61_0,2.0,708.0254232723568,528,583,0.7699497,10,190062.0,3.4942505,4,65,247.0,905.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
62_0,2.0,366.1966684720111,528,574,0.8137133,30,190063.0,0.9663775,3,61,242.0,1191.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
63_0,1.0,120.0,514,192,0.68713903,10,190064.0,0.4526233,5,70,233.0,838.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
64_0,3.0,94.86832980505139,559,2159,0.73205316,50,190065.0,2.1768012,3,64,160.0,1016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
65_0,3.0,228.47319317591726,558,1653,0.19641349,10,190066.0,7.255474,4,65,195.0,1134.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
66_0,3.0,240.0,559,2119,0.6650857,50,190067.0,2.2762256,4,59,146.0,1164.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
67_0,1.0,835.7032966310471,514,646,0.38339627,10,190068.0,11.269758,7,62,207.0,3029.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
68_0,2.0,1033.1505214633537,551,36,0.86828005,50,190069.0,0.030859089,5,68,259.0,1069.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
69_0,3.0,416.7733196834941,327,1169,0.31400222,10,190070.0,4.903662,10,56,194.0,962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
70_0,3.0,1234.382436686459,558,1068,0.5529566,10,190071.0,1.8233062,5,54,229.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
71_0,2.0,750.0,528,817,0.7869565,30,190072.0,5.2941923,5,65,232.0,865.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
72_0,1.0,384.1874542459709,519,10,0.5957601,10,190073.0,0.12741026,9,69,254.0,1184.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
73_0,1.0,30.0,514,1363,0.90691847,50,190074.0,1.4318033,5,66,182.0,1576.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
74_0,3.0,715.6116265125938,558,1569,0.44370893,10,190075.0,6.0839963,5,61,206.0,1911.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
75_0,1.0,416.7733196834941,494,621,0.77237713,40,190076.0,1.2528288,4,63,225.0,2041.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
76_0,1.0,108.16653826391968,487,1446,0.9130298,50,190077.0,1.7443314,4,64,178.0,1643.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
77_0,3.0,1143.5471131527552,553,1313,0.7904574,50,190078.0,4.985555,4,64,218.0,2538.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
78_0,13.0,375.89892258425004,432,1497,0.33816984,20,190079.0,6.9827304,4,73,168.0,561.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
79_0,3.0,120.0,559,2062,0.4739737,10,190080.0,3.6651776,7,60,148.0,1664.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
80_0,1.0,323.10988842807024,514,332,0.9216045,50,190081.0,1.0395243,2,74,239.0,900.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
81_0,1.0,660.6814663663572,515,643,0.4353095,10,190082.0,15.082877,7,67,241.0,1657.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
82_0,2.0,189.73665961010278,522,1221,0.8639791,50,190083.0,6.1804156,3,70,231.0,853.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
83_0,3.0,254.5584412271571,558,2334,0.22883,10,190084.0,6.540546,8,57,170.0,1508.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
84_0,1.0,553.1726674375732,502,107,0.82260585,10,190085.0,0.69558406,5,63,268.0,2269.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
85_0,3.0,1594.5218719101974,558,2477,0.2098559,10,190086.0,9.310283,9,52,131.0,1252.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
86_0,1.0,30.0,494,126,0.48872274,10,190087.0,0.55810344,5,56,254.0,1989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
87_0,1.0,189.73665961010278,494,238,0.047343142,10,190088.0,3.945328,6,58,254.0,2825.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
88_0,3.0,349.85711369071805,559,1914,0.14821017,10,190089.0,1.2338326,5,58,165.0,1219.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
89_0,3.0,349.85711369071805,559,1914,0.14821017,10,190090.0,1.2338326,5,58,165.0,1219.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
90_0,3.0,210.0,559,1728,0.1511093,10,190091.0,0.56362724,5,61,177.0,1029.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
91_0,3.0,210.0,559,1728,0.1511093,10,190092.0,0.56362724,5,61,177.0,1029.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
92_0,3.0,984.0731680114036,326,1560,0.4237404,30,190093.0,1.1728091,2,67,173.0,996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
93_0,3.0,318.9043743820395,559,2200,0.120968305,10,190094.0,1.1120428,5,59,152.0,989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
94_0,3.0,174.92855684535903,559,2355,0.3809175,10,190095.0,11.195025,6,59,142.0,958.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
95_0,13.0,381.8376618407357,427,1944,0.13661695,30,190096.0,4.210055,3,59,173.0,840.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
96_0,3.0,276.5863337187866,559,1593,0.2647594,20,190097.0,7.6362443,4,59,186.0,941.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
97_0,3.0,254.5584412271571,559,1618,0.26727712,10,190098.0,6.7434244,4,58,185.0,942.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
98_0,3.0,201.24611797498108,559,2020,0.31713825,10,190099.0,7.4789805,5,59,155.0,960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99_0,3.0,349.85711369071805,559,1914,0.14821017,10,190100.0,1.2338326,5,58,165.0,1219.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100_0,3.0,254.5584412271571,559,1618,0.26727712,10,190101.0,6.7434244,4,58,185.0,942.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101_0,2.0,161.55494421403512,534,1619,0.43347633,20,190102.0,7.0026345,4,64,190.0,731.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102_0,2.0,161.55494421403512,534,1619,0.43347633,20,190103.0,7.0026345,4,64,190.0,731.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103_0,3.0,201.24611797498108,559,2020,0.31713825,10,190104.0,7.4789805,5,59,155.0,960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104_0,13.0,234.30749027719963,427,1961,0.16631493,20,190105.0,2.1267102,3,57,173.0,831.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105_0,3.0,305.9411708155671,559,1658,0.22786257,10,190106.0,3.4537573,5,60,187.0,984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106_0,3.0,67.0820393249937,559,1438,0.22677697,10,190107.0,6.644732,5,59,191.0,1152.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107_0,3.0,453.9823785126467,559,1611,0.09864884,10,190108.0,2.7800698,5,55,177.0,1277.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108_0,3.0,210.0,559,1728,0.1511093,10,190109.0,0.56362724,5,61,177.0,1029.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109_0,2.0,42.42640687119285,545,765,0.44794586,10,190110.0,12.503661,4,71,237.0,856.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
110_0,3.0,453.9823785126467,559,1611,0.09864884,10,190111.0,2.7800698,5,55,177.0,1277.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111_0,3.0,152.97058540778355,559,1242,0.83086616,50,190112.0,0.39660093,3,70,207.0,1026.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112_0,3.0,276.5863337187866,559,1755,0.24568933,10,190113.0,6.7750096,4,62,181.0,964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113_0,3.0,67.0820393249937,327,693,0.41001055,20,190114.0,2.5454879,3,80,218.0,551.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114_0,3.0,1002.6464980241042,326,1599,0.233236,10,190115.0,4.446814,4,64,168.0,1062.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115_0,3.0,108.16653826391968,559,1585,0.79700106,20,190116.0,0.5941476,2,62,193.0,961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116_0,3.0,450.0,327,2969,0.168589,10,190117.0,16.1635,9,69,99.0,726.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117_0,1.0,330.0,514,503,0.6745876,10,190118.0,8.696598,4,68,233.0,1624.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118_0,3.0,381.8376618407357,327,2288,0.25886413,10,190119.0,15.005023,6,69,144.0,588.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119_0,3.0,713.0918594402827,559,2074,0.18791363,10,190120.0,14.85302,8,62,154.0,1147.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
120_0,3.0,421.07006542854594,559,1430,0.11025796,10,190121.0,3.961046,4,55,188.0,1261.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121_0,3.0,907.9647570252934,327,2138,0.1558106,10,190122.0,2.5172112,6,70,151.0,426.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122_0,3.0,516.1395160225576,327,1325,0.28179178,10,190123.0,14.715423,7,60,183.0,558.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123_0,3.0,67.0820393249937,559,2180,0.67916787,10,190124.0,3.3183644,4,58,151.0,937.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124_0,3.0,453.9823785126467,559,1611,0.09864884,10,190125.0,2.7800698,5,55,177.0,1277.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125_0,1.0,480.93658625644196,494,1150,0.46127257,10,190126.0,1.9992232,7,60,219.0,1146.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
126_0,1.0,768.9603370785778,515,1048,0.38934982,10,190127.0,12.878689,10,56,202.0,1884.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127_0,3.0,67.0820393249937,559,1438,0.22677697,10,190128.0,6.644732,5,59,191.0,1152.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
128_0,3.0,123.69316876852982,559,1579,0.31350702,10,190129.0,6.8097563,4,61,189.0,1000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
129_0,3.0,127.27922061357854,559,1584,0.71997523,50,190130.0,1.3362656,3,61,194.0,963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
130_0,3.0,218.40329667841553,559,2085,0.22689244,10,190131.0,12.342638,7,60,157.0,902.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
131_0,1.0,123.69316876852982,514,22,0.6546548,60,190132.0,0.386554,2,77,239.0,1003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
132_0,3.0,120.0,559,1470,0.33038583,30,190133.0,2.1422756,4,57,192.0,1145.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
133_0,2.0,30.0,534,55,0.44649193,10,190134.0,1.5195789,4,69,262.0,805.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
134_0,2.0,742.7651041883969,534,199,0.46559596,10,190135.0,3.5581603,5,58,253.0,1249.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
135_0,3.0,872.066511224918,327,1745,0.1207039,10,190136.0,2.2250075,5,74,181.0,527.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
136_0,3.0,67.0820393249937,559,1438,0.22677697,10,190137.0,6.644732,5,59,191.0,1152.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
137_0,2.0,400.24992192379,545,1499,0.20867972,20,190138.0,9.357078,4,71,208.0,874.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
138_0,13.0,933.3809511662427,432,1859,0.08212109,20,190139.0,2.1641223,5,78,177.0,445.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
139_0,3.0,420.0,559,1347,0.1657685,10,190140.0,4.237086,5,55,190.0,1246.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
140_0,13.0,84.8528137423857,436,195,0.6266208,20,190141.0,1.0138448,4,79,232.0,672.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
141_0,1.0,543.3231082882451,514,587,0.7973579,10,190142.0,4.1141148,7,58,224.0,2250.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
142_0,3.0,420.0,559,1347,0.1657685,10,190143.0,4.237086,5,55,190.0,1246.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
143_0,3.0,67.0820393249937,559,1438,0.22677697,10,190144.0,6.644732,5,59,191.0,1152.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
144_0,3.0,1002.6464980241042,326,1599,0.233236,10,190145.0,4.446814,4,64,168.0,1062.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
145_0,3.0,510.0,326,1741,0.31435862,20,190146.0,2.4417338,3,57,184.0,866.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
146_0,2.0,30.0,545,675,0.46370468,50,190147.0,13.496638,6,72,242.0,838.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
147_0,3.0,780.0,326,1820,0.16044861,10,190148.0,12.843904,5,61,157.0,1018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
148_0,3.0,787.4642849044013,326,1552,0.14860061,10,190149.0,10.249069,4,63,170.0,1050.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
149_0,2.0,42.42640687119285,545,765,0.44794586,10,190150.0,12.503661,4,71,237.0,856.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
150_0,3.0,787.4642849044013,326,1552,0.14860061,10,190151.0,10.249069,4,63,170.0,1050.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
151_0,2.0,364.96575181789314,324,801,0.082850285,10,190152.0,9.57134,3,71,210.0,743.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
152_0,2.0,42.42640687119285,545,765,0.44794586,10,190153.0,12.503661,4,71,237.0,856.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
153_0,3.0,408.0441152620633,327,535,0.6837663,10,190154.0,8.937859,6,70,228.0,1416.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
154_0,3.0,849.0583018850944,327,1678,0.06694486,10,190155.0,7.633888,6,73,181.0,545.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
155_0,2.0,0.0,521,1530,0.85091954,50,190156.0,0.80682355,4,64,197.0,851.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
156_0,2.0,108.16653826391968,521,1596,0.79757786,40,190157.0,4.6339216,3,64,198.0,865.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
157_0,3.0,1002.6464980241042,326,1599,0.233236,10,190158.0,4.446814,4,64,168.0,1062.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
158_0,3.0,1002.6464980241042,326,1599,0.233236,10,190159.0,4.446814,4,64,168.0,1062.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
159_0,2.0,30.0,521,1537,0.7012177,50,190160.0,6.723992,6,65,195.0,753.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
160_0,3.0,792.0227269466451,326,1953,0.1467351,10,190161.0,12.031743,5,59,141.0,965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
161_0,3.0,632.8506932918697,559,698,0.15635657,10,190162.0,7.434174,5,55,240.0,1540.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
162_0,3.0,787.4642849044013,326,1552,0.14860061,10,190163.0,10.249069,4,63,170.0,1050.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
163_0,3.0,1002.6464980241042,326,1599,0.233236,10,190164.0,4.446814,4,64,168.0,1062.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
164_0,13.0,933.3809511662427,432,1859,0.08212109,20,190165.0,2.1641223,5,78,177.0,445.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
165_0,1.0,284.60498941515414,514,317,0.89854145,50,190166.0,0.5817623,2,79,240.0,910.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
166_0,13.0,30.0,427,2023,0.3644602,20,190167.0,1.8139668,2,63,177.0,565.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
167_0,3.0,323.10988842807024,559,1526,0.40982047,30,190168.0,1.597742,5,56,186.0,1134.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
168_0,2.0,0.0,545,531,0.30441627,80,190169.0,10.232132,13,75,257.0,914.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
169_0,3.0,127.27922061357854,559,1584,0.71997523,50,190170.0,1.3362656,3,61,194.0,963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
170_0,3.0,421.07006542854594,559,1331,0.35319027,10,190171.0,6.0558486,5,56,195.0,1208.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
171_0,13.0,933.3809511662427,432,1859,0.08212109,20,190172.0,2.1641223,5,78,177.0,445.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
172_0,3.0,210.0,559,2233,0.22445452,10,190173.0,15.658339,9,57,148.0,855.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
173_0,2.0,67.0820393249937,545,525,0.43533167,10,190174.0,7.2194376,4,70,258.0,926.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
174_0,3.0,84.8528137423857,327,2270,0.3135329,10,190175.0,4.1254487,7,64,160.0,491.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
175_0,2.0,30.0,545,675,0.46370468,50,190176.0,13.496638,6,72,242.0,838.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
176_0,13.0,510.8815909777921,427,1771,0.14077947,30,190177.0,2.0151906,3,61,188.0,873.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
