system:index,avg_temperature,date,location_id,ndvi,nighttime_lights,precipitation,relative_humidity,soil_moisture,surface_pressure_hpa,.geo
0_0,-9999.0,2024-05,5,0.6780086956521739,2.593942,-9999.0,-9999.0,0.19767387,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,-9999.0,2024-06,12,0.6780086956521739,2.593942,-9999.0,-9999.0,0.19767387,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,-9999.0,2024-04,5,0.6780086956521739,2.593942,-9999.0,-9999.0,0.19767387,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,-9999.0,2024-08,16,0.6780086956521739,2.593942,-9999.0,-9999.0,0.19767387,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,-9999.0,2024-09,12,0.6780086956521739,2.593942,-9999.0,-9999.0,0.19767387,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,-9999.0,2024-08,12,0.6780086956521739,2.593942,-9999.0,-9999.0,0.19767387,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,-9999.0,2024-06,16,0.6780086956521739,2.593942,-9999.0,-9999.0,0.19767387,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,-9999.0,2024-06,22,0.6780086956521739,2.593942,-9999.0,-9999.0,0.19767387,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,-9999.0,2024-06,23,0.6780086956521739,2.593942,-9999.0,-9999.0,0.19767387,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,-9999.0,2024-07,23,0.6780086956521739,2.593942,-9999.0,-9999.0,0.19767387,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,-9999.0,2024-04,17,0.6780086956521739,2.593942,-9999.0,-9999.0,0.19767387,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,26.155749813281318,2024-07,696,0.6936434782608696,1.1647526,2976.1699838638656,85.54575114554103,0.3437401,996.6384566443613,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,26.166752817678343,2024-08,697,0.7460260869565217,1.7132552,3046.608428478276,85.66304728955693,0.34385026,996.2383632928123,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,25.863350724739576,2024-08,698,0.7061347826086958,1.0332714,2611.9191749096267,84.6874732093639,0.41928205,990.0534873820653,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,25.78436678554641,2024-07,702,0.6984086956521739,0.62736326,3046.958426952397,87.00305713599823,0.37008917,990.5523273183126,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,20.943025061602157,2024-08,707,0.6244826086956522,0.30579427,2787.722672343289,87.90784203032595,0.48837042,900.9218229922657,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,-9999.0,2024-01,709,0.39094761904761904,0.6518945,-9999.0,-9999.0,0.18974377,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,24.10616614197545,2024-09,716,0.6021347826086957,5.017249,354.7889096737258,71.70445497043225,0.21695508,1005.480149494998,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,27.146142501691997,2024-10,789,0.7617782608695652,0.32211262,1896.3867528438918,79.10755538263723,0.36674666,1010.2630570541974,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,27.141130281319988,2024-02,827,0.7379478260869565,0.29926106,1902.3191882372253,76.294332556652,0.1901878,1000.9534293219559,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,24.835435534478904,2024-11,848,0.752713043478261,0.24008463,3352.404634475743,81.73013299439,0.42526144,965.5079363802433,"{""type"":""MultiPoint"",""coordinates"":[]}"
