system:index,avg_temperature,date,location_id,ndvi,nighttime_lights,precipitation,relative_humidity,soil_moisture,surface_pressure_hpa,.geo
0_0,24.42573715453841,2022-01,381,0.6581086956521739,0.27815104,2671.074657757966,84.16721012413751,0.3856378,983.5032612728307,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,24.950255339113028,2022-09,392,0.6294565217391305,0.27472982,3963.8853287894412,88.30193574946115,0.36399373,1004.9052144691783,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,25.179524567138003,2022-09,371,0.6169913043478261,0.39637044,4207.905701418607,87.89162506712968,0.46454993,1007.3798320490858,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,24.79826899315134,2022-10,463,0.7029391304347826,0.265332,3363.448991497247,87.40184400568107,0.35713506,999.6935592180373,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,25.56204164583403,2022-01,465,0.6153130434782609,0.26758137,4286.717026551454,86.62189237658838,0.4589214,1008.9668126426941,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,24.93491394356522,2022-10,475,0.6448652173913043,0.31045574,3775.9966692526027,87.93878704429717,0.29968584,1003.9083891267126,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,25.198081038314058,2022-10,487,0.5865173913043479,0.26953125,3980.8995267946407,88.2685539596667,0.36970675,1004.7530740582193,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,25.77194216131619,2022-01,491,0.6223695652173913,0.8142936,4356.910689790933,85.35759410643378,0.46639717,1010.4901299942925,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,-9999.0,2022-01,428,0.33209130434782613,3.533649,-9999.0,-9999.0,-9999.0,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,25.398093747004054,2022-02,511,0.5718434782608697,0.2623112,4300.937107821195,87.31214545175641,0.46324965,1008.0512841038815,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,25.743738902540372,2022-01,513,0.5107782608695652,0.24297526,4045.6813565094158,86.30567962688718,0.43370727,1009.8967624143829,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,-9999.0,2022-02,428,0.33209130434782613,3.533649,-9999.0,-9999.0,-9999.0,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,25.542681851670068,2022-10,558,0.5736782608695652,0.32173827,4299.219748993604,86.3479421477822,0.47082102,1009.7037612728303,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,25.542681851670068,2022-01,48,0.5736782608695652,0.32173827,4299.219748993604,86.3479421477822,0.47082102,1009.7037612728303,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,24.950255339113028,2022-10,392,0.6294565217391305,0.27472982,3963.8853287894412,88.30193574946115,0.36399373,1004.9052144691783,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,26.19047388399025,2022-11,592,0.6441739130434784,1.6255631,1107.8002146083995,77.13786458559213,0.23781379,1011.4228092180362,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,26.19047388399025,2022-08,592,0.6441739130434784,1.6255631,1107.8002146083995,77.13786458559213,0.23781379,1011.4228092180362,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,26.19047388399025,2022-06,592,0.6441739130434784,1.6255631,1107.8002146083995,77.13786458559213,0.23781379,1011.4228092180362,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,26.19047388399025,2022-05,592,0.6441739130434784,1.6255631,1107.8002146083995,77.13786458559213,0.23781379,1011.4228092180362,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,26.19047388399025,2022-01,592,0.6441739130434784,1.6255631,1107.8002146083995,77.13786458559213,0.23781379,1011.4228092180362,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,26.19047388399025,2022-07,592,0.6441739130434784,1.6255631,1107.8002146083995,77.13786458559213,0.23781379,1011.4228092180362,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,26.19047388399025,2022-04,592,0.6441739130434784,1.6255631,1107.8002146083995,77.13786458559213,0.23781379,1011.4228092180362,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,26.19047388399025,2022-03,592,0.6441739130434784,1.6255631,1107.8002146083995,77.13786458559213,0.23781379,1011.4228092180362,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,26.19047388399025,2022-02,592,0.6441739130434784,1.6255631,1107.8002146083995,77.13786458559213,0.23781379,1011.4228092180362,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,26.19047388399025,2022-10,592,0.6441739130434784,1.6255631,1107.8002146083995,77.13786458559213,0.23781379,1011.4228092180362,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,26.19047388399025,2022-09,592,0.6441739130434784,1.6255631,1107.8002146083995,77.13786458559213,0.23781379,1011.4228092180362,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,26.19047388399025,2022-12,592,0.6441739130434784,1.6255631,1107.8002146083995,77.13786458559213,0.23781379,1011.4228092180362,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,-9999.0,2022-11,735,0.3276260869565218,3.1908984,-9999.0,-9999.0,0.10476868,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,-9999.0,2022-11,736,0.3276260869565218,3.1908984,-9999.0,-9999.0,0.10476868,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,-9999.0,2022-12,741,0.4871347826086957,0.23383138,-9999.0,-9999.0,0.09477517,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,-9999.0,2022-12,750,0.4792217391304348,0.65675783,-9999.0,-9999.0,0.10275785,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,-9999.0,2022-11,751,0.4148913043478261,9.647018,-9999.0,-9999.0,0.09762881,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,-9999.0,2022-11,761,0.3276260869565218,3.1908984,-9999.0,-9999.0,0.10476868,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,-9999.0,2022-11,763,0.6627782608695653,0.7122298,-9999.0,-9999.0,-9999.0,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,-9999.0,2022-11,767,0.4792217391304348,0.65675783,-9999.0,-9999.0,0.10275785,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,-9999.0,2022-12,773,0.3818521739130435,2.6052084,-9999.0,-9999.0,0.10607877,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,-9999.0,2022-12,774,0.4792217391304348,0.65675783,-9999.0,-9999.0,0.10275785,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,13.766405854595405,2022-08,776,0.6788086956521739,2.6023047,538.1560838420079,67.94932182564418,0.21723959,763.3480637842472,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,-9999.0,2022-11,782,0.3276260869565218,3.1908984,-9999.0,-9999.0,0.10476868,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,-9999.0,2022-04,784,0.42222608695652175,0.25510415,-9999.0,-9999.0,-9999.0,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,-9999.0,2022-02,785,0.49456086956521744,0.80041015,-9999.0,-9999.0,0.23496309,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
41_0,-9999.0,2022-10,804,0.4792217391304348,0.65675783,-9999.0,-9999.0,0.10275785,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
42_0,-9999.0,2022-11,823,0.3276260869565218,3.1908984,-9999.0,-9999.0,0.10476868,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
43_0,-9999.0,2022-07,825,0.6930695652173914,0.36323893,-9999.0,-9999.0,-9999.0,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
