system:index,avg_temperature,date,location_id,ndvi,nighttime_lights,precipitation,relative_humidity,soil_moisture,surface_pressure_hpa,.geo
0_0,-9999.0,2026-01,749,0.2689777777777778,4.3748827,-9999.0,-9999.0,0.067228444,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,-9999.0,2026-01,777,0.2689777777777778,4.3748827,-9999.0,-9999.0,0.067228444,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,25.175339974878113,2026-01,810,0.7780222222222223,0.8632519,261.24373241267307,77.31582712998055,0.16550395,990.7986207280966,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,-9999.0,2026-01,815,0.41655555555555557,0.24939454,-9999.0,-9999.0,-9999.0,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,24.57032661960568,2026-01,820,0.6455222222222223,0.4223535,370.54655118785007,68.37627526530586,0.21971622,1005.1161007509277,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,-9999.0,2026-01,907,0.2689777777777778,4.3748827,-9999.0,-9999.0,0.067228444,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,-9999.0,2026-02,983,0.41655555555555557,0.24939454,-9999.0,-9999.0,-9999.0,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,25.86372177960135,2026-03,1034,0.6355000000000001,4.3994827,913.2734106381904,82.4502859982638,0.3894193,1011.5886064586902,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,-9999.0,2026-01,1038,0.41655555555555557,0.24939454,-9999.0,-9999.0,-9999.0,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,-9999.0,2026-01,1102,0.2689777777777778,4.3748827,-9999.0,-9999.0,0.067228444,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,25.48686062538468,2026-01,1113,0.6914333333333333,0.2928711,745.5360756715309,79.16229839297067,0.30667683,994.2088147920241,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,25.567405850484363,2026-02,1187,0.5843222222222223,0.98348635,973.2764975627433,82.18459045026918,0.43673503,1008.3581526915664,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,-9999.0,2026-01,1204,0.4574888888888889,0.2344922,-9999.0,-9999.0,0.170978,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,21.786834204686784,2026-01,13241,0.6740222222222223,0.55507815,270.3676836093436,67.62085051489188,0.10066674,1017.2331583993297,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,23.241264632412253,2026-02,13242,0.6740888888888888,2.8818555,767.6887677510749,79.23088823914325,0.30892298,944.5898678742153,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,22.078913903780744,2026-02,13243,0.8711000000000001,0.895,1334.587307413436,84.68913002912116,0.23839316,962.3440002943067,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,22.223029334360092,2026-04,13257,0.5069333333333333,0.48163086,327.1325991948615,73.00324579041855,0.20981118,1017.7592828285534,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,25.397198587356684,2026-02,13276,0.5484444444444445,0.30003905,1475.6327734788429,85.82889560393949,0.4752262,1008.0124220979596,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,26.306166463355623,2026-02,13277,0.6102444444444445,0.60291994,1868.8428418239127,82.6544828691975,0.43922728,998.3756669609729,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,19.80838100833978,2026-02,13278,0.7969888888888889,6.798965,930.8627562125694,85.02204602501352,0.40510035,928.1807268924802,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,20.608807195376016,2026-04,13288,0.3675,46.26547,881.5372751554023,83.69510849976774,0.27402446,930.239850750928,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,17.837582568164237,2026-04,13289,0.3212777777777778,9.083427,91.94363816580875,44.50537089489161,0.21987784,800.4607268924794,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,19.80838100833978,2026-01,13293,0.7969888888888889,6.798965,930.8627562125694,85.02204602501352,0.40510035,928.1807268924802,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,24.095692719063322,2026-01,13296,0.7815888888888889,0.9452832,1059.3214498361122,86.603169813127,0.33724946,1005.5195139929369,"{""type"":""MultiPoint"",""coordinates"":[]}"
