system:index,avg_temperature,date,location_id,ndvi,nighttime_lights,precipitation,relative_humidity,soil_moisture,surface_pressure_hpa,.geo
0_0,21.030426349378615,2026-01,179157,0.6480111111111112,3.1625195,577.5266902049552,76.8584075708924,0.2616256,930.2086892212469,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,22.430922880129287,2026-02,179159,0.24415555555555557,39.51369,293.90607937178714,70.89328301268169,0.1252518,1017.9776618239871,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,19.80838100833978,2026-02,179160,0.7969888888888889,6.798965,930.8627562125694,85.02204602501352,0.40510035,928.1807268924802,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_0,-9999.0,2026-03,179170,0.7253777777777778,0.31527343,-9999.0,-9999.0,0.23804969,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4_0,25.30256678263345,2026-04,179171,0.5351,36.360184,389.18046816191776,77.41845560130281,0.26332086,1014.8328273491019,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_0,22.88130938037898,2026-04,179172,0.8576444444444445,1.7437793,1299.5960281690132,84.42678966612169,0.24061655,980.7705071436213,"{""type"":""MultiPoint"",""coordinates"":[]}"
6_0,20.594019965602854,2026-04,179173,0.28144444444444444,82.78862,957.328768213607,83.49265844469123,0.27098098,928.7117057737587,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_0,20.594019965602854,2026-04,179174,0.28144444444444444,82.78862,957.328768213607,83.49265844469123,0.27098098,928.7117057737587,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0,20.989937466137917,2026-04,179175,0.7309777777777777,4.9496775,1046.069668372489,82.27312156005262,0.311653,931.8105642212471,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0,22.54174655931712,2026-04,179198,0.3719333333333334,2.6099122,137.22251518569095,67.6012525782534,0.19817062,1014.940070499786,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0,-9999.0,2026-05,179199,0.6373,0.72020507,-9999.0,-9999.0,0.12104674,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0,25.596280217279627,2026-05,179200,0.8640444444444446,0.5556543,1211.689548333503,84.96964860417123,0.20493332,986.4873136504714,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0,22.755413083289852,2026-01,179201,0.5969555555555556,1.0371192,437.1547268231879,84.60249785567127,0.40162557,966.818055659603,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0,-9999.0,2026-03,179231,0.8165666666666668,23.370205,-9999.0,-9999.0,0.23352854,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0,24.06437861821439,2026-04,179232,0.4066,0.75157225,32.89686306319339,61.95852523421965,0.049672157,989.2663490385986,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0,24.864409609581287,2026-03,179237,0.7583333333333333,0.18,1967.9855124553214,87.23114331635111,0.4836542,978.100698353667,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0,24.763398934281497,2026-01,179238,0.8169666666666667,0.42683595,161.1384765704642,72.01703812002981,0.15003477,1014.4142171892832,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0,18.489561222024065,2026-03,179240,0.30963333333333337,44.977345,435.6676207383643,62.70509188561435,0.098983355,914.6895853399683,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0,24.217452003095843,2026-01,179250,0.7517333333333334,0.7638769,1205.265806754447,86.71845575416086,0.4248754,1002.7997679883705,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0,22.342255241359226,2026-01,179257,0.4202888888888889,61.217297,289.04460533461673,70.68601808113397,0.11685655,1017.8606926459042,"{""type"":""MultiPoint"",""coordinates"":[]}"
20_0,-9999.0,2026-02,179259,0.6157333333333334,3.3438866,-9999.0,-9999.0,-9999.0,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21_0,22.303595183211257,2026-02,179262,0.6887777777777778,7.1263576,623.1660412152778,74.64216988292914,0.13258594,943.4076589701051,"{""type"":""MultiPoint"",""coordinates"":[]}"
22_0,26.225246108939075,2026-04,179270,0.6703111111111112,7.8536034,354.6304123004447,79.67845198073476,0.2655156,996.8367942440782,"{""type"":""MultiPoint"",""coordinates"":[]}"
23_0,22.20531910587107,2026-04,179271,0.5602777777777778,19.85499,325.6269858678351,73.03443789284424,0.17064914,1017.7018855682794,"{""type"":""MultiPoint"",""coordinates"":[]}"
24_0,21.22627283732089,2026-01,179284,0.3525777777777778,0.46361327,259.2966125806342,54.13111034024367,0.1263257,959.54219949522,"{""type"":""MultiPoint"",""coordinates"":[]}"
25_0,22.16106387970109,2026-02,179286,0.42761111111111116,49.149357,267.6325158675681,70.63338139152266,0.12814975,1017.9672223262703,"{""type"":""MultiPoint"",""coordinates"":[]}"
26_0,25.30256678263345,2026-02,179323,0.5351,36.360184,389.18046816191776,77.41845560130281,0.26332086,1014.8328273491019,"{""type"":""MultiPoint"",""coordinates"":[]}"
27_0,26.225246108939075,2026-03,179325,0.6703111111111112,7.8536034,354.6304123004447,79.67845198073476,0.2655156,996.8367942440782,"{""type"":""MultiPoint"",""coordinates"":[]}"
28_0,20.712197405671645,2026-02,179326,0.6771,10.24961,799.30029972396,83.42352482419271,0.24042849,934.1326932166808,"{""type"":""MultiPoint"",""coordinates"":[]}"
29_0,16.63080381976971,2026-01,179333,0.1866888888888889,122.56201,221.13713785014255,51.46504645538704,0.10274946,780.8827417326627,"{""type"":""MultiPoint"",""coordinates"":[]}"
30_0,13.276250318413986,2026-01,179335,0.5895,0.6027344,611.8071989615928,75.37549035863303,0.41449824,968.6129757509276,"{""type"":""MultiPoint"",""coordinates"":[]}"
31_0,25.02871290581413,2026-04,179338,0.5479666666666667,0.23481445,1387.0343582232963,86.10289843075927,0.41549158,991.5010636504712,"{""type"":""MultiPoint"",""coordinates"":[]}"
32_0,23.682665308425555,2026-05,179340,0.5327444444444445,9.239297,457.78203173480136,74.45561239250522,0.3473447,998.9702674175949,"{""type"":""MultiPoint"",""coordinates"":[]}"
33_0,21.829353133946086,2026-01,179342,0.6694,20.565126,782.1293042500984,83.50734559967896,0.30474564,994.19537015732,"{""type"":""MultiPoint"",""coordinates"":[]}"
34_0,17.843661558247106,2026-01,179343,0.7725444444444445,5.8474803,858.9367882808219,79.76101827522434,0.21248414,861.6405528057218,"{""type"":""MultiPoint"",""coordinates"":[]}"
35_0,21.609143864183068,2026-01,179346,0.6278,7.810889,768.6767743428718,69.2951075622774,0.22978984,1007.7277674175944,"{""type"":""MultiPoint"",""coordinates"":[]}"
36_0,15.695630401890071,2026-01,179347,0.5951000000000001,0.27436522,2914.9324314197074,91.49779489093464,0.37496382,805.589128718964,"{""type"":""MultiPoint"",""coordinates"":[]}"
37_0,12.196149340067791,2026-02,179348,0.7880777777777778,0.2395703,1820.8693729241859,86.28043928670796,0.32731506,726.1331612532105,"{""type"":""MultiPoint"",""coordinates"":[]}"
38_0,-9999.0,2026-02,179350,0.29744444444444446,12.661142,-9999.0,-9999.0,0.12723212,-9999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
39_0,13.664306825263452,2026-02,179351,0.5329333333333334,25.589033,628.3934877713691,76.08023463848525,0.25472432,1008.116894129923,"{""type"":""MultiPoint"",""coordinates"":[]}"
40_0,18.392421680607242,2026-02,179352,0.6706000000000001,7.8405566,4546.056838472701,89.6484719022178,0.4134962,847.6060493810644,"{""type"":""MultiPoint"",""coordinates"":[]}"
